X1,Y1,X2,Y2,X3,Y3,X4,Y4
12.08571,372.5,12.08571,334.94,12.08571,-685.12207,,
12.10571,317.5,12.10571,335.14001,12.10571,-740.32208,,
12.12571,340,12.12571,335.34,12.12571,-718.02203,,
12.14571,410,12.14571,335.54001,12.14571,-648.22205,,
12.16571,330,12.16571,335.73999,12.16571,-728.42206,,
12.18571,330,12.18571,335.94,12.18571,-728.62207,,
12.20571,322.5,12.20571,336.14001,12.20571,-736.32208,,
12.22571,397.5,12.22571,336.35001,12.22571,-661.53204,,
12.24571,462.5,12.24571,336.54999,12.24571,-596.73206,,
12.26571,360,12.26571,336.75,12.26571,-699.43207,,
12.28571,457.5,12.28571,336.95001,12.28571,-602.13208,,
12.30571,342.5,12.30571,337.14999,12.30571,-717.33203,,
12.32571,377.5,12.32571,337.35001,12.32571,-682.53204,,
12.34571,390,12.34571,337.54999,12.34571,-670.23206,,
12.36571,405,12.36571,337.75,12.36571,-655.43207,,
12.38571,375,12.38571,337.95001,12.38571,-685.63208,,
12.40571,375,12.40571,338.14999,12.40571,-685.83203,,
12.42571,385,12.42571,338.35001,12.42571,-676.03204,,
12.44571,380,12.44571,338.54999,12.44571,-681.23206,,
12.46571,395,12.46571,338.76001,12.46571,-666.44208,,
12.48571,405,12.48571,338.95999,12.48571,-656.64203,,
12.50571,367.5,12.50571,339.16,12.50571,-694.34204,,
12.52571,375,12.52571,339.35999,12.52571,-687.04205,,
12.54571,327.5,12.54571,339.56,12.54571,-734.74207,,
12.56571,340,12.56571,339.76001,12.56571,-722.44208,,
12.58571,320,12.58571,339.95999,12.58571,-742.64203,,
12.60571,337.5,12.60571,340.16,12.60571,-725.34204,,
12.62571,370,12.62571,340.35999,12.62571,-693.04205,,
12.64571,392.5,12.64571,340.56,12.64571,-670.74207,,
12.66571,417.5,12.66571,340.76001,12.66571,-645.94208,,
12.68571,347.5,12.68571,340.95999,12.68571,-716.14203,,
12.70571,362.5,12.70571,341.16,12.70571,-701.34204,,
12.72571,367.5,12.72571,341.37,12.72571,-696.55206,,
12.74571,352.5,12.74571,341.57001,12.74571,-711.75208,,
12.76571,362.5,12.76571,341.76999,12.76571,-701.95203,,
12.78571,345,12.78571,341.97,12.78571,-719.65204,,
12.80571,325,12.80571,342.17001,12.80571,-739.85205,,
12.82571,390,12.82571,342.37,12.82571,-675.05206,,
12.84571,292.5,12.84571,342.57001,12.84571,-772.75208,,
12.86571,372.5,12.86571,342.76999,12.86571,-692.95203,,
12.88571,367.5,12.88571,342.97,12.88571,-698.15204,,
12.90571,307.5,12.90571,343.17001,12.90571,-758.35205,,
12.92571,355,12.92571,343.37,12.92571,-711.05206,,
12.94571,417.5,12.94571,343.57001,12.94571,-648.75208,,
12.96571,342.5,12.96571,343.78,12.96571,-723.96204,,
12.98571,365,12.98571,343.98001,12.98571,-701.66205,,
13.00571,392.5,13.00571,344.17999,13.00571,-674.36206,,
13.02571,417.5,13.02571,344.38,13.02571,-649.56207,,
13.04571,397.5,13.04571,344.57999,13.04571,-669.76202,,
13.06571,362.5,13.06571,344.78,13.06571,-704.96204,,
13.08571,420,13.08571,344.98001,13.08571,-647.66205,,
13.10571,380,13.10571,345.17999,13.10571,-687.86206,,
13.12571,410,13.12571,345.38,13.12571,-658.06207,,
