X1	Y1	NormalY1	X2	InterpolY2
124.771	2.48449	77.64031		
124.796	2.48438	77.63687		
124.828	2.4844	77.6375		
124.868	2.48431	77.63469		
124.908	2.48401	77.62531		
124.943	2.48386	77.62063		
124.976	2.48385	77.62031		
125.008	2.48395	77.62344		
125.034	2.48382	77.61938		
125.059	2.4835	77.60938		
125.106	2.48333	77.60406		
125.141	2.48331	77.60344		
125.177	2.48336	77.605		
125.208	2.48347	77.60844		
125.225	2.48346	77.60813		
125.261	2.48318	77.59937		
125.293	2.48286	77.58938		
125.328	2.48283	77.58844		
125.371	2.48284	77.58875		
125.404	2.48288	77.59		
125.438	2.48283	77.58844		
125.472	2.48279	77.58719		
125.506	2.4829	77.59063		
125.536	2.48288	77.59		
125.57	2.48291	77.59094		
125.605	2.48276	77.58625		
125.641	2.48255	77.57969		
125.674	2.48252	77.57875		
125.697	2.48255	77.57969		
125.728	2.48252	77.57875		
125.76	2.48241	77.57531		
125.786	2.4824	77.575		
125.827	2.48212	77.56625		
125.869	2.48184	77.5575		
125.902	2.48193	77.56031		
125.927	2.48198	77.56188		
125.969	2.48195	77.56094		
125.989	2.48163	77.55094		
126.018	2.48133	77.54156		
126.06	2.48144	77.545		
126.098	2.48158	77.54937		
126.129	2.48156	77.54875		
126.161	2.48153	77.54781		
126.194	2.48149	77.54656		
126.22	2.48152	77.5475		
126.263	2.48159	77.54969		
126.304	2.48156	77.54875		
126.33	2.48135	77.54219		
126.345	2.48097	77.53031		
126.382	2.48074	77.52312		
126.426	2.48065	77.52031		
126.47	2.4805	77.51563		
126.51	2.48048	77.515		
126.547	2.48052	77.51625		
126.562	2.48052	77.51625		
126.589	2.48039	77.51219		
126.628	2.48042	77.51313		
126.66	2.48056	77.5175		
126.691	2.48059	77.51844		
126.724	2.4802	77.50625		
126.756	2.47997	77.49906		
126.789	2.48008	77.5025		
126.818	2.47999	77.49969		
126.851	2.47997	77.49906		
126.886	2.48001	77.50031		
126.92	2.47969	77.49031		
126.942	2.4794	77.48125		
126.972	2.47948	77.48375		
127.012	2.47946	77.48313		
127.051	2.47933	77.47906		
127.087	2.47919	77.47469		
127.124	2.47914	77.47313		
127.151	2.47918	77.47437		
127.175	2.47923	77.47594		
127.217	2.47926	77.47688		
127.252	2.47931	77.47844		
127.289	2.47936	77.48		
127.326	2.47927	77.47719		
127.352	2.47926	77.47688		
127.389	2.47926	77.47688		
127.424	2.47928	77.4775		
127.457	2.47937	77.48031		
127.492	2.47923	77.47594		
127.52	2.47891	77.46594		
127.545	2.4788	77.4625		
127.577	2.47862	77.45687		
127.617	2.47834	77.44813		
127.645	2.47827	77.44594		
127.683	2.4783	77.44687		
127.718	2.47816	77.4425		
127.749	2.47791	77.43469		
127.789	2.47762	77.42562		
127.822	2.47734	77.41687		
127.858	2.47735	77.41719		
127.891	2.47749	77.42156		
127.917	2.47749	77.42156		
127.956	2.47747	77.42094		
127.991	2.4776	77.425		
128.025	2.47754	77.42312		
128.061	2.47722	77.41312		
128.096	2.47717	77.41156		
